Barrio_Id,Barrio
1-1,Constitucion
9-3,Parque Avellaneda
1-2,Monserrat
1-3,San Nicolas
1-4,Retiro
1-5,San Telmo
1-6,Puerto Madero
10-1,Velez Sarsfield
10-2,Floresta
10-3,Villa Luro
10-4,Villa Real
10-5,Versalles
10-6,Monte Castro
11-1,Villa Devoto
11-2,Villa Santa Rita
11-3,Villa Gral. Mitre
12-1,Saavedra
12-3,Villa Urquiza
12-4,Villa Pueyrredon
13-1,Nuñez
13-2,Belgrano
13-3,Colegiales
14-1,Palermo
15-1,Villa Crespo
15-2,Chacarita
15-3,Paternal
15-4,Parque Chas
15-5,Agronomia
15-6,Villa Ortuzar
15-7,Villa Del Parque
2-1,Recoleta
3-1,Balvanera
3-2,San Cristobal
4-1,Barracas
4-2,Nueva Pompeya
4-3,Boca
4-4,Parque Patricios
5-1,Almagro
5-2,Boedo
6-1,Caballito
7-1,Flores
7-2,Parque Chacabuco
8-1,Villa Riachuelo
8-2,Villa Lugano
8-3,Villa Soldati
9-1,Mataderos
9-2,Liniers
(0-1),Limite o Afuera
