Participantes_Id,Participantes
0,SD-SD
1,MOTO-AUTO
2,AUTO-PASAJEROS
3,MOTO-SD
4,MOTO-PASAJEROS
5,MOTO-OBJETO FIJO
6,MOTO-CARGAS
7,PEATON-AUTO
8,PEATON-MOTO
9,PEATON-PASAJEROS
10,AUTO-AUTO
11,AUTO-OBJETO FIJO
12,PEATON-CARGAS
13,MOTO-MOTO
14,MULTIPLE
16,AUTO-CARGAS
17,AUTO-SD
18,MOTO-MOVIL
19,CARGAS-CARGAS
20,PEATON-SD
21,BICICLETA-CARGAS
22,SD-CARGAS
23,BICICLETA-PASAJEROS
24,PASAJEROS-PASAJEROS
25,MOVIL-PASAJEROS
26,CARGAS-OBJETO FIJO
27,PEATON-BICICLETA
28,SD-AUTO
29,CARGAS-AUTO
30,BICICLETA-AUTO
31,MOTO-BICICLETA
32,SD-MOTO
33,MOVIL-CARGAS
34,PASAJEROS-AUTO
35,AUTO-MOVIL
36,CARGAS-PASAJEROS
37,BICICLETA-TREN
38,BICICLETA-OTRO
39,MOTO-OTRO
40,PASAJEROS-SD
